NPA,employment_2023,grad_2023,home_price_2023,home_price_2021,job_density_2022,homicide_count
2,95.6,100.0,488364.0,336581.0,1,2.0
3,97.4,100.0,667092.0,561120.0,31,5.0
4,94.3,100.0,1493043.0,1295555.0,0,0.0
5,82.8,83.3,255031.0,153707.0,1,3.0
6,100.0,90.5,445698.0,225545.0,2,11.0
7,96.6,100.0,2660173.0,1980920.0,6,0.0
8,100.0,83.3,529911.0,457216.0,1,2.0
10,95.8,56.3,478229.0,317271.0,1,4.0
11,99.0,95.5,1024397.0,804054.0,5,0.0
12,96.2,69.4,126655.0,100922.0,1,5.0
13,96.9,86.2,481946.0,354641.0,3,2.0
14,100.0,90.6,357567.0,226713.0,1,1.0
15,99.0,81.8,581844.0,414355.0,1,0.0
16,92.8,86.0,273196.0,185067.0,2,7.0
17,87.8,82.8,293365.0,175262.0,1,5.0
18,96.8,100.0,798392.0,846554.0,2,0.0
19,94.7,100.0,418373.0,349608.0,1,0.0
20,100.0,96.7,418173.0,311431.0,1,0.0
21,98.4,88.0,390925.0,273781.0,3,13.0
23,100.0,90.0,591028.0,227735.0,2,1.0
25,92.4,100.0,478299.0,363035.0,1,0.0
26,96.0,86.7,899528.0,247722.0,0,0.0
27,93.9,100.0,549583.0,223200.0,0,0.0
28,100.0,100.0,370635.0,865864.0,6,1.0
29,94.5,100.0,291169.0,317132.0,1,0.0
30,93.8,48.0,475891.0,475966.0,8,10.0
31,100.0,100.0,772069.0,580549.0,0,0.0
33,100.0,100.0,276500.0,182313.0,3,0.0
34,90.4,85.7,321646.0,176099.0,0,2.0
35,97.3,95.0,372714.0,312998.0,2,1.0
36,98.7,90.0,435040.0,252623.0,1,3.0
37,93.2,71.4,348955.0,397265.0,1,2.0
38,97.1,100.0,573136.0,272521.0,5,2.0
39,94.0,86.8,1772045.0,224972.0,0,1.0
40,91.5,82.6,367974.0,178147.0,0,6.0
41,100.0,80.0,254669.0,193996.0,1,0.0
42,95.0,91.3,247895.0,274823.0,1,1.0
43,100.0,93.8,338218.0,619871.0,1,0.0
45,96.6,92.7,434200.0,325792.0,2,2.0
46,93.8,91.3,325353.0,249053.0,1,0.0
48,90.6,90.9,581879.0,216194.0,0,1.0
49,99.2,95.0,832500.0,223826.0,0,2.0
50,100.0,90.3,293935.0,172412.0,1,1.0
52,93.3,66.7,264568.0,220625.0,3,6.0
53,93.8,72.4,520548.0,157757.0,2,11.0
54,91.8,88.2,301079.0,132202.0,3,5.0
